Point# (XPN),XPN X,XPN Y,XPN Z,HTol,LTol,XPR X,XPR Y,XPR Z,I,J,K,Deviation,Error,Correction_Magnitude,Remarks
91.0,-18.62,-22.608,220.0,0.08,0.0,-18.689,-22.567,220.0,-0.86,0.511,-0.018,0.08,0.0,1.085,Out of spec
92.0,-18.143,-21.818,220.0,0.08,0.0,-18.213,-21.781,220.0,-0.858,0.513,-0.018,0.08,-0.0,1.093,Within tolerance
93.0,-17.662,-21.03,220.0,0.08,0.0,-17.726,-20.981,220.0,-0.855,0.518,-0.018,0.08,-0.0,1.103,Within tolerance
94.0,-17.18,-20.242,220.0,0.08,0.0,-17.247,-20.199,220.0,-0.853,0.522,-0.018,0.08,-0.0,1.1,Within tolerance
95.0,-16.694,-19.457,220.0,0.08,0.0,-16.764,-19.417,220.0,-0.85,0.526,-0.018,0.08,0.0,1.102,Out of spec
96.0,-16.206,-18.673,220.0,0.08,0.0,-16.269,-18.623,220.0,-0.847,0.531,-0.018,0.08,-0.0,1.11,Within tolerance
97.0,-15.714,-17.891,220.0,0.08,0.0,-15.78,-17.846,220.0,-0.845,0.534,-0.018,0.08,-0.0,1.104,Within tolerance
98.0,-15.219,-17.112,220.0,0.08,0.0,-15.288,-17.072,220.0,-0.842,0.538,-0.018,0.08,0.0,1.104,Out of spec
99.0,-14.719,-16.336,220.0,0.08,0.0,-14.781,-16.285,220.0,-0.839,0.544,-0.018,0.08,0.0,1.111,Out of spec
100.0,-14.215,-15.562,220.0,0.08,0.0,-14.28,-15.516,220.0,-0.836,0.548,-0.018,0.08,-0.0,1.105,Within tolerance
101.0,-13.706,-14.791,220.0,0.08,0.0,-13.775,-14.75,220.0,-0.833,0.553,-0.018,0.08,-0.0,1.106,Within tolerance
102.0,-13.193,-14.024,220.0,0.08,0.0,-13.255,-13.972,220.0,-0.829,0.558,-0.018,0.08,-0.0,1.113,Within tolerance
103.0,-12.675,-13.259,220.0,0.08,0.0,-12.74,-13.212,220.0,-0.826,0.563,-0.018,0.08,0.0,1.104,Out of spec
104.0,-12.153,-12.497,220.0,0.08,0.0,-12.221,-12.456,220.0,-0.823,0.567,-0.018,0.08,0.0,1.107,Out of spec
105.0,-11.626,-11.739,220.0,0.08,0.0,-11.687,-11.687,220.0,-0.82,0.573,-0.018,0.08,-0.0,1.111,Within tolerance
106.0,-11.094,-10.984,220.0,0.08,0.0,-11.159,-10.937,220.0,-0.817,0.577,-0.018,0.08,0.0,1.107,Out of spec
107.0,-10.558,-10.232,220.0,0.08,0.0,-10.627,-10.19,220.0,-0.814,0.581,-0.018,0.08,0.0,1.113,Out of spec
108.0,-10.017,-9.484,220.0,0.08,0.0,-10.078,-9.432,220.0,-0.809,0.587,-0.018,0.08,0.0,1.117,Out of spec
